Seconds elapsed,Metres from animatedLocation to lastReceivedLocation
67.649,201.59228966726258
67.666,201.59228966726258
67.696,201.59228966726258
67.699,201.59228966726258
67.716,201.59228966726258
67.733,201.59228966726258
67.749,201.59228966726258
67.776,201.59228966726258
67.782,201.59228966726258
67.799,201.59228966726258
67.817,201.59228966726258
67.832,201.59228966726258
67.859,201.59228966726258
67.865,201.59228966726258
67.883,201.59228966726258
67.899,201.59228966726258
67.916,201.59228966726258
67.933,201.59228966726258
67.961,201.59228966726258
67.965,201.59228966726258
67.994,201.59228966726258
67.999,201.59228966726258
68.016,201.59228966726258
68.033,201.59228966726258
68.049,201.59228966726258
68.086,201.59228966726258
68.116,201.59228966726258
68.133,201.59228966726258
68.149,201.59228966726258
68.166,201.59228966726258
68.183,201.59228966726258
68.201,201.59228966726258
68.216,201.59228966726258
68.233,201.59228966726258
68.249,201.59228966726258
68.266,201.59228966726258
68.283,201.59228966726258
68.299,201.59228966726258
68.316,201.59228966726258
68.333,201.59228966726258
68.349,201.59228966726258
68.366,201.59228966726258
68.383,201.59228966726258
68.399,201.59228966726258
68.415,201.59228966726258
68.432,201.59228966726258
68.449,201.59228966726258
68.466,201.59228966726258
68.483,201.59228966726258
68.499,201.59228966726258
68.516,201.59228966726258
68.533,201.59228966726258
68.549,201.59228966726258
68.566,201.59228966726258
68.582,201.59228966726258
68.599,201.59228966726258
68.616,201.59228966726258
68.633,201.59228966726258
68.649,201.59228966726258
68.666,201.59228966726258
68.683,201.59228966726258
68.699,201.59228966726258
68.716,201.59228966726258
68.733,201.59228966726258
68.749,201.59228966726258
68.766,201.59228966726258
68.783,201.59228966726258
68.799,201.59228966726258
68.816,201.59228966726258
68.833,201.59228966726258
68.849,201.59228966726258
68.866,201.59228966726258
68.905,201.59228966726258
68.947,201.59228966726258
68.948,201.59228966726258
68.982,201.59228966726258
69.012,201.59228966726258
69.023,201.59228966726258
69.032,201.59228966726258
69.049,201.59228966726258
69.066,201.59228966726258
69.098,201.59228966726258
69.116,201.59228966726258
69.145,201.59228966726258
69.149,201.59228966726258
69.166,201.59228966726258
69.183,201.59228966726258
69.199,201.59228966726258
69.216,201.59228966726258
69.233,201.59228966726258
69.249,201.59228966726258
69.266,201.59228966726258
69.282,201.59228966726258
69.299,201.59228966726258
69.316,201.59228966726258
69.333,201.59228966726258
69.349,201.59228966726258
69.366,201.59228966726258
69.383,201.59228966726258
69.399,201.59228966726258
69.416,201.59228966726258
69.433,201.59228966726258
69.449,201.59228966726258
69.466,201.59228966726258
69.483,201.59228966726258
69.499,201.59228966726258
69.516,201.59228966726258
69.533,201.59228966726258
69.549,201.59228966726258
69.566,201.59228966726258
69.583,201.59228966726258
69.599,201.59228966726258
69.616,201.59228966726258
69.632,201.59228966726258
69.649,201.59228966726258
69.665,201.59228966726258
69.683,201.59228966726258
69.699,201.59228966726258
69.716,201.59228966726258
69.733,201.59228966726258
69.749,201.59228966726258
69.765,201.59228966726258
69.783,201.59228966726258
69.799,201.59228966726258
69.816,201.59228966726258
69.832,201.59228966726258
69.849,201.59228966726258
69.866,201.59228966726258
69.882,201.59228966726258
69.899,201.59228966726258
69.916,201.59228966726258
69.933,201.59228966726258
69.949,201.59228966726258
69.965,201.59228966726258
69.983,201.59228966726258
69.999,201.59228966726258
70.016,201.59228966726258
70.033,201.59228966726258
70.049,201.59228966726258
70.066,201.59228966726258
70.082,201.59228966726258
70.099,201.59228966726258
70.116,200.58813989975687
70.133,199.2758994823799
70.149,197.96745626270402
70.166,196.6588785054743
70.182,195.35337806380963
70.209,193.25871598356028
70.216,192.7499236044464
70.232,191.42074031645393
70.249,190.11102194016445
70.266,188.80316143376447
70.293,186.6664668417776
70.298,186.23687662392842
70.316,184.86924566733822
70.342,182.80189871181304
70.349,182.25688929789854
70.366,180.93739858738138
70.382,179.62894032256133
70.399,178.31749337109014
70.416,177.0083189885658
70.433,175.6924003635811
70.449,174.38922479603997
70.466,173.06760065030585
70.483,171.77224918422726
70.499,170.46502016867535
70.516,169.14846124279188
70.533,167.81715084764411
70.549,166.5330587330096
70.566,165.2012085810846
70.583,163.9060228526282
70.599,162.60498014107066
70.616,161.29978381105184
70.633,159.98567399361139
70.649,158.68070576345485
70.666,157.35930023942882
70.682,156.06423082493032
70.699,154.75060601411212
70.716,153.44453813710572
70.733,152.1325985817208
70.749,150.82750898924346
70.766,149.51267182157358
70.783,148.20413574108954
70.799,146.8991765225712
70.817,145.54830953630463
70.832,144.28071700291633
70.849,142.9694654988135
70.866,141.66119911304497
70.883,140.34233413407057
70.899,139.04421728829507
70.916,137.72691962374935
70.933,136.42512918500117
70.95,135.10944520703083
70.968,133.6590126812717
70.982,264.97601008250103
70.999,263.6931315775897
71.016,262.4092305795498
71.033,261.12648783522457
71.049,259.82714473086315
71.066,258.5599765269814
71.083,257.27257406297525
71.099,255.98704078538952
71.116,254.68364564224976
71.133,253.42065731274212
71.149,252.14060614737406
71.166,250.85925264344118
71.183,249.5728043820424
71.199,248.29096918467053
71.216,247.00890277911955
71.233,245.72032296203238
71.249,244.41793687043463
71.266,243.15761901220438
71.283,241.87304844406037
71.299,240.58769662858614
71.316,239.30637906624906
71.333,238.02366265230424
71.349,236.73846330504483
71.366,235.45770362464515
71.383,234.17002494988117
71.399,232.91045536712983
71.423,232.91045536712983
71.449,232.91045536712983
